TIC,Orbital Period Value,Orbital Period Error,Orbital Epoch Value,Full TOI ID,Group Disposition,Public Comment
102672709,6.702137,0.002201,1818.606268,1686.01,PC,crowded field
103448870,10.257449,0.002278,1816.846351,1687.01,PC,Potentially stellar variability
121966220,6.716659,0.00054,1820.091558,1688.01,PC,Likely an EB; too large to be a inflated planet
198384408,9.12381,0.005304,1823.255936,1689.01,PC,Potentially on the neighboring star; possibly has a stellar companion
267574918,1.407977,5.4e-05,1817.388972,1690.01,PC,Host star is a white dwarf; interesting small planet
268334473,16.731638,0.004534,1818.092952,1691.01,PC,potential L1 candidate
288636342,17.734395,0.006823,1820.841012,1692.01,PC,Check the 14-15 mag neighbors; some centroid offset
353475866,1.766881,0.000295,1817.683149,1693.01,PC,centroid offset; check nearby stars
396740648,3.77013,0.00027,1843.657627,1694.01,PC,
422756130,3.131463,0.000629,1816.598975,1695.01,PC,potential L1 candidate; low SNR; crowded field
470381900,2.500715,0.000511,1816.697706,1696.01,PC,centroid offset relative to oot centroid position; no offset relative to TIC position; check nearby stars
1884091865,10.691098,0.006605,1844.275679,1697.01,PC,Some transits affected by noise at end of sectors; crowded field; 2 similarly bright stars in pixel
190223929,17.04198,0.0012,1847.69726,1698.01,PC,matches with 703728672 with 3 arcsec separation; could be planetary on companion as well; Gaia Rstar = 2.3 Rsun; period could be half (8.5 days)
22705558,4.54856,0.00215,1842.99749,1699.01,PC,potential L1 candidate; low SNR
23650642,1.12355,0.00039,1843.38029,1700.01,PC,small centroid offset; potential odd-even
274215536,1.33418,0.00021,1843.37293,1701.01,PC,slightly v-shaped; small depth-aperture correlation
371210825,0.40312,0.0001,1842.74962,1702.01,PC,potential L1 candidate; ultra short period
453387619,1.20143,9e-05,1843.70837,1703.01,PC,short transit duration
95129101,3.93064,0.00116,1844.21597,1704.01,PC,check 95129100; v-shaped
137500798,13.20692,0.00404,1822.8675,1705.01,PC,Slight depth-aperture correlation; the last transit lands on a systematic feature
230377505,4.51564,0.00017,1685.46804,1706.01,PC,L1 candidate
240148934,2.02365,0.00075,1843.26677,1707.01,PC,slight depth/aperture correlation; missing transit
241173474,11.44192,0.00099,1853.1211,1708.01,PC,
29119552,7.62897,0.00038,1849.57198,1709.01,PC,period could be 2x
