rowid,TIC_ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments,Full TOI ID,Group Disposition,Orbital Epoch Value,Orbital Period Error,Orbital Period Value,Public Comment
715,167418903,PC,PC,37.0,"1,2,3,4,5,6,7,8,9,11,12,13",matches with 167418898 but this is likely the source,746.01,PC,1335.77268,0.00011,10.98016,matches with 167418898 but this is likely the source
716,167600516,PC,PC,10.927932,"1,2,3,4,5,6,7,8",single transit (i.e. the first transit),713.01,PC,1346.7068199999999,0.001307,36.000166,single transit (i.e. the first transit)
717,167714792,PC,PC,17.0,"5,6",Possible EB,945.01,PC,1438.10347,0.00027,0.9295100000000001,Possible EB
718,167754523,EB,FP,10.0,4,centroid offset on 167754526,409.01,FP,1326.31473,0.00018999999999999998,1.69992,centroid offset on 167754526
719,168699373,KP,KP,62.93131,23,HAT-P-44 b,1841.01,KP,1931.432466,0.00022400000000000002,4.30138,HAT-P-44 b
720,169177766,,FP,13.0,14,Could be on neighbor,1177.01,FP,1684.33812,0.0011,1.69127,Could be on neighbor
721,169226822,KP,KP,160.821152,9,WASP-127 b,675.01,KP,1543.9419679999999,0.000113,4.178161,WASP-127 b
722,169532369,EB,FP,68.0,5,,425.01,FP,1440.31143,0.00032,3.60364,
723,169765334,PC,PC,9.0,2,,329.01,PC,1354.94883,0.00449,5.7018,
724,169904935,PC,FP,73.0,7,,1005.01,FP,1492.5552,0.00033,4.55072,
725,170102285,KP,KP,123.089493,6,WASP-23,477.01,KP,1470.661164,9.9e-05,2.9444049999999997,WASP-23
726,170634116,KP,KP,246.08461,"4,5",WASP-79b,413.01,KP,1412.8923439999999,2.8000000000000013e-05,3.6623550000000002,WASP-79b
727,170849515,PC,PC,16.086195,5,possible hot Jupiter.,555.01,PC,1438.148808,0.00022,1.941285,possible hot Jupiter.
728,172193428,PC,PC,18.126085,7,,502.01,PC,1493.776367,0.000381,2.941821,
729,172370679,PC,CP,29.524157,"14,15",single transit; size (~11 R_J) consistent with planetary nature; crowded field; CTOI from Planet Hunters,1899.01,CP,1711.9593100000006,,,single transit; size (~11 R_J) consistent with planetary nature; crowded field; CTOI from Planet Hunters
730,172464366,EB,FP,79.508011,6,centroid shift because of nearby bright star; some phase variation (non-synchronized) and possible secondary; DR2 RVs show 6.4 km/s scatter.,478.01,FP,1470.046418,0.000125,2.9216849999999996,centroid shift because of nearby bright star; some phase variation (non-synchronized) and possible secondary; DR2 RVs show 6.4 km/s scatter.
731,172518755,PC,PC,42.0,21,v-shaped; large; some centroid offset,1789.01,PC,1873.6534399999998,0.00027,3.20875,v-shaped; large; some centroid offset
732,172598832,KP,KP,21.0,"6,7",,1933.01,KP,1470.76421,0.00059,3.26445,
733,173612049,PC,PC,11.0,"16,17",,1537.01,PC,1739.07393,0.00139,6.49052,
734,173640199,PC,PC,40.0,"7,8",likely large planet,618.01,PC,1497.91582,0.00078,7.7647,likely large planet
735,174041208,PC,PC,8.218374,"16,17",period could be 2x,1740.01,PC,1741.058614,0.0037159999999999997,19.428419,period could be 2x
736,174143743,PC,FP,10.0,"7,8",Could be EB; V-shape in SPOC data,726.01,FP,1492.31313,9e-05,0.46132,Could be EB; V-shape in SPOC data
737,174302697,PC,PC,35.010220000000004,"16,17",Single transit; Rp based on first event is ~14 Re (DD); CTOI from Planet Hunters,1896.01,PC,1743.727014,,,Single transit; Rp based on first event is ~14 Re (DD); CTOI from Planet Hunters
738,174599051,PC,PC,16.0,"7,8",v-shaped; star is evolved,970.01,PC,1496.14662,0.00406,4.99682,v-shaped; star is evolved
739,175176327,PC,FP,39.0,"7,8",,602.01,FP,1502.78755,0.0009,11.097430000000001,
740,175180796,PC,FP,29.0,"7,8",likely BEB on 175180784 (evolved star according to Gaia),816.01,FP,1493.44312,0.00022,1.5574700000000001,likely BEB on 175180784 (evolved star according to Gaia)
741,175310067,PC,PC,38.0,"7,8",,1016.01,PC,1502.26383,0.00065,12.70907,
742,175476629,,FP,16.0,2,There is some centroid offset but there is no star there.,321.01,FP,1354.27156,0.00053,1.14057,There is some centroid offset but there is no star there.
743,175477257,PC,PC,50.0,2,,310.01,PC,1356.58788,0.00043,4.26938,
744,175482273,,,73.0,2,PC (star radius 1.70); Simbad says it's a known double. Gaia did not have a second star at the same coordinate.,369.01,PC,1354.34549,0.00032,5.46349,PC (star radius 1.70); Simbad says it's a known double. Gaia did not have a second star at the same coordinate.
745,175532955,PC,PC,11.0,"3,4",,929.01,PC,1388.44272,0.00117,5.82947,
746,176685457,KP,KP,22.0,8,,1935.01,KP,1518.94088,0.0009599999999999999,4.4352599999999995,
747,176778112,PC,FP,15.566831,4,follow-up in progress; likely EB,408.01,FP,1411.537711,0.000168,1.339129,follow-up in progress; likely EB
748,176796997,PC,PC,16.0,4,,926.01,PC,1412.28643,0.00027,1.8000099999999999,
