rowid,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Disposition,Group Comment
198,231670397,1327.6873937344562,0.9966067952666332,4.085195183699273,0.03250411638077688,4.995990956008593,9.84799957,6036.0,2.21867,7.0,0.3507,0.2158,3.93358994,0.05361433424429855,0.9968179923311042,0.9968965182190376,0.8011651872045021,93.53937387637305,14.80727973457796,1.16,316.678,6.237655999999999,0.10621300000000004,KP,WASP-73
199,70797900,1365.8441455516452,0.9453457226578716,12.780741696673012,0.04116697158677773,1.2408673600946951,10.94999981,3689.0,0.48700000000000004,2.0,0.5221,0.3406,4.78104019,0.20503675312383685,0.9194993183359708,1.0016356755208409,21.31325137801414,115.0816681203548,32.73763772949209,0.522,64.7701645,0.0395719334,4.519430000000002,FP,V-shaped; single transit; likely EB.
200,257605131,1421.2829346962399,0.9984072071779178,11.722742698466506,0.0907084071457227,3.823847236588198,10.23600006,5467.0,0.856226,2.0,0.3862,0.2061,4.53449011,0.036510749914890346,0.9983441086554568,0.9987273785512558,1.5074259859902592,17.687654078600175,9.589958075036833,0.96,123.73899999999999,0.596088469,1.52935,PC,may also be 2x period
201,343628284,1714.8329733830176,0.9937226004108592,6.5999761353249715,0.023962028077389785,1.210448912858887,13.17169952,3391.0,0.38158600000000004,4.0,0.1555,0.4459,4.84372997,0.07406419938790028,0.9959270610840388,0.9921882671520524,1.178152984917338,6.016724584279728,6.086499396298872,0.370553,73.3345,0.0173456557,6.6691899999999995,PC,There is scattered light which may have caused the centroid shift.
202,407966340,1442.6282593947064,0.9997042920442798,7.044052775057247,0.04588846702846894,3.1230376180725985,6.41400003,6337.87011719,1.42717,4.0,0.3383,0.2164,4.0,0.01586495367081732,0.9997558506870988,0.9997285222730772,0.8638297114366574,23.16876645144617,14.364857988660967,1.25,45.6181,2.96089077,0.4300100000000001,PC,Gaia DR2 R = 1.4 R_Sun; period might be twice (14.1 day).
203,120610833,1354.7800169652667,0.9901119013006692,3.1246891742956326,0.010513431415536843,1.1521826951577383,11.43799973,5100.0,0.874706,8.0,0.4036,0.2028,4.46509981,0.09068407845340637,0.9907980131759468,0.9904612020334448,0.613531997769494,66.4123942855714,21.42060467821103,0.91,211.196,0.5430841,1.35974,KP,V-shaped.
204,261136679,1325.506209250785,0.9997930124418204,6.267548427980148,0.031341341383578136,2.9467825640888368,5.09700012,5950.0,1.14889,5.0,0.3345,0.2282,4.0,0.013267856595787707,0.999838781679392,0.9997823800308746,1.9549750741819625,15.292259589000391,10.680060293629273,1.1,18.2702,1.5330863000000001,0.7253689999999999,CP,Pi Men c
205,77228304,1411.2900496457223,0.979129409280176,0.6734798216896348,0.0011473246510725346,0.5211428024082942,15.70300007,6000.0,0.140853,33.0,0.5221,0.3406,4.0,0.12670303225135748,0.9837391046685308,0.978718946063279,0.6774146315942893,7.100968523854727,9.317459957504607,0.114299,39.4781,0.0,40.902,FP,
206,167009792,1325.2956299592465,0.9998501817951362,1.0235059441069123,0.002797472152884395,1.657000186890036,8.44799995,5837.0,2.10249,26.0,0.3599,0.215,3.76694989,0.011246178397394993,0.9998490001387492,0.999878884106828,0.7944136725286209,9.832597698853368,9.103270731168774,1.08,153.89600000000004,4.94467974,0.116204,PC,possibly NEB or stellar variability
207,199376584,1683.6680304353704,0.9998641519700224,3.8807711091765738,0.01997815031876571,0.43913762828546665,8.04170036,6125.0,1.27074,5.0,0.3276,0.2297,4.29441023,0.01076163136748845,0.9998249705893159,0.9997869212330214,0.25801202344529256,3.6132962659318895,4.140439388359255,1.16,80.6665,2.04753065,0.565316,CP,Possible single transit; T0=1693 transit is close to amomentum dump
208,408203470,1684.0947857343454,0.9950917858469626,1.162186099932854,0.0051582659653128795,0.548922536402098,12.99839973,3446.0,0.38621,16.0,0.1555,0.4459,4.83940983,0.06549078513525218,0.9949069857190646,0.9967426568999952,0.8773388860510061,6.061626231572922,8.131788800220386,0.375832,89.21544,0.018949721,6.52414,FP,short period; possible stellar variability; possible centroid offset
209,139733308,1441.127819329072,0.9874141321102168,4.766834451342938,0.026902601807229587,2.280722453217184,11.85200024,5304.0,0.87551,4.0,0.4036,0.2028,4.53251982,0.10230956355592057,0.9877714989842112,0.9877267964016476,0.07450907374518882,60.510781081494926,16.758093035719586,0.9,246.38400000000001,0.5278363,1.34109,KP,HATS-5b
210,370133522,1654.100137400872,0.9991644509280948,1.0367902788815917,0.002323883641742741,0.7511756589173655,10.28100014,3325.0,0.390989,28.0,0.1604,0.4325,4.88692999,0.0270304621848647,0.9992670918143436,0.9992023944594001,0.4646991381464681,15.534342758549592,19.118178064429628,0.381272,20.373,0.0215314273,6.3788300000000016,PC,Potential level one candidate
211,237914496,1327.816226101738,0.9989684597884532,4.5966360671333915,0.010353648598711018,0.6504705723373799,11.74600029,4015.0,0.577735,6.0,0.33899999999999997,0.2994,4.61504984,0.02938540983355425,0.998965884747988,0.9988325376976466,0.20297668168412566,4.673040023336392,5.0581560057343795,0.62,84.4039,0.07545448,3.21518,PC,
212,220435095,1655.2449855295054,0.9925488639098896,3.4216952878057803,0.013710649409278242,1.7974619307617306,11.81799984,5620.89990234,2.6126099999999997,8.0,0.3801,0.2248,0.2,0.07891709520323954,0.9933927694830376,0.9935925333788396,0.3817381437457653,43.613397813249094,16.143805681643318,1.0,820.079,6.13859463,0.056075599999999996,PC,Visible secondary; very likely EB
213,374095457,1544.613122656003,0.999154961553443,0.7840148874887954,0.002648839505712764,1.5696343029617363,8.18299961,6000.0,,28.0,0.3685,0.5069,4.0,0.02588141983376591,0.9991535486444746,0.999326677830538,3.2142542277447075,43.080809743696854,11.63189310858331,,634.714,,,PC,Has variability of unrelated period.
214,380589029,1653.968408840654,0.9813603733438088,1.3490098769165968,0.004621323632594154,2.2600373773226337,12.21100044,6346.0,1.1475899999999999,22.0,0.3216,0.2301,4.38484001,0.12620074879485738,0.9833559453263162,0.9835635016062114,0.4235092121858409,138.22422399414938,20.945356453958265,1.18,494.18199999999996,1.7363220000000001,0.780759,KP,HATS-24b
215,322270620,1625.6881723123095,0.9983447808354584,13.967558465420995,inf,12.508725246521447,12.07499981,3614.0,0.49132299999999995,1.0,0.2125,0.3984,4.812570099999999,0.0377897859373963,0.9987477465999623,,,5.642934759838692,10.385089568418026,0.489415,68.9109,0.034580525,4.1264400000000006,PC,Likely stellar variability
216,286864983,1575.9498563765617,0.99366977605801,11.009213821566894,0.0873606362071273,3.5587008327274248,10.83100033,5184.0,0.8153739999999999,2.0,0.4244,0.1961,4.57383013,0.07230363367419748,0.9945731908498702,0.9946121445128696,0.07930479113395064,38.14014705862029,13.029919233590789,0.858,135.371,0.40712916899999996,1.58276,PC,
217,181159386,1574.5840524354758,0.985706357924464,5.630865966071365,0.0505884836076036,6.271111435262907,11.13700008,6632.0,2.78212,4.0,0.3089,0.2445,4.20606995,0.11063185563802866,0.9873071044242191,0.9873331634995888,0.07076486358507847,118.51961481211201,16.36737104445024,1.43,789.341,14.2122946,0.06640639999999999,FP,Possible EB
218,22221375,1547.2428884971202,0.9996786745597184,3.9834161064757856,0.0197990945362454,2.357670574357729,7.357999799999999,5903.0,1.03399,6.0,0.3454,0.2253,4.44652987,0.01650043638739697,0.9997186434007059,0.9997188870743912,0.006084672632308219,20.05177607374325,17.249447016226732,1.09,45.683,1.19946957,0.986014,PC,small PC in known system (HD 86226 b has P = 1695 days)
219,262530407,1356.1593688202065,0.998720849879859,2.851853127429186,0.007439368917953049,1.046122373724118,9.43799973,3703.0,0.517786,8.0,0.2125,0.3984,4.76229,0.03322059730529133,0.99871715721255,0.998799606054766,0.5488269480737047,24.01518823709893,21.61927207924192,0.515356,22.4751,0.0423568375,3.7124099999999998,PC,known TOI
220,352239069,1684.983901241288,0.9994012574164308,3.5110886697683834,0.05778014852194002,9.195090104393783,10.94250011,6164.0,1.02659,8.0,0.3216,0.2301,4.48494005,0.02261847918252893,0.9993689863935864,0.9995774645444802,1.809695027928461,12.65871348442782,7.278012024463286,1.1740000000000002,247.074,1.37069535,1.08511,PC,Low SNR; could be variability; young star
221,154872375,1684.1444416279428,0.995139467460776,8.034079881162317,0.03771544451126952,4.256406336105926,9.02855015,6121.0,1.15415,4.0,0.3276,0.2297,4.3761301,0.06437146105662223,0.9957386432183188,0.9957078237864252,0.16936963462432114,94.76438762004386,19.479944398100226,1.155,114.04799999999999,1.68463457,0.751276,PC,5.5 sigma odd-even
222,70887357,1439.192084691405,0.999431646499162,5.046583662694174,0.06613434268795171,2.282897167036455,8.61800003,5463.0,1.9477099999999998,5.0,0.3789,0.2128,3.77778006,0.021826883641948427,0.9999141600439118,0.9985445420543568,8.35040045599839,20.795882212691623,3.8574866072794487,0.992,139.21200000000002,3.38288379,0.134257,PC,Single transit; ~15 Re or larger based on actual depth
223,154716798,1683.6314967154992,0.9980409079907014,8.839278008884436,0.04283595388130479,1.6378217662987158,10.71920013,5217.0,0.789425,4.0,0.4136,0.1999,4.59185982,0.040295509785088134,0.9989900673651776,0.9966893327792716,6.5391159630607465,18.683322166811017,8.037684002503463,0.888,126.90299999999999,0.41591063100000003,1.8050099999999998,PC,Small planet candidate
224,108645766,1492.9047665571209,0.991020055747212,2.9764894967504705,0.013239342910973841,1.8258925207058392,13.17099953,3333.0,0.309992,8.0,0.1529,0.4604,4.9482398000000005,0.08850539741567741,0.9919182701938374,0.99222677449497,0.1247854884772434,9.334277710517997,10.611884605493161,0.288049,56.33600000000001,0.0102796368,9.66974,FP,Faint target; centroid analysis not reliable bc of crowded field; SG1 needed
225,200723869,1388.6034734897846,0.9993592878109816,7.772721884244378,0.2406418979040903,4.1276318927640565,7.01200008,6382.66992188,1.76557,2.0,0.3332,0.2167,4.0,0.0233754151477887,0.9993959306150232,,,34.55038817350925,3.141618543603109,1.28,76.9028,4.660927,0.23257199999999997,CP,First event is a partial transit
226,271893367,1548.8578818678393,0.9940575767824504,5.859657717716442,0.06060456992034169,5.752045823344947,10.86499977,5982.89990234,1.67987,4.0,0.354,0.2157,4.10149002,0.0709054804878136,0.9945803189452168,0.9950403942735658,2.01906431875778,74.85134312797359,13.688286335131052,1.1,336.267,3.25757432,0.23204,PC,
