TIC_ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments,Full TOI ID,Group Disposition,Orbital Epoch Value,Orbital Period Error,Orbital Period Value,Public Comment
73448352,PC,KP,54.0,18,,1603.01,KP,1794.3362,0.00039,4.73231,
73540072,PC,,15.0,23,,1853.01,PC,1929.64573,0.00023,1.24357,
73649615,PC,,7.940721000000001,10,,756.01,PC,1570.645382,0.000189,1.23938,
73717937,PC,KP,21.82836,11,HATS-17b,819.01,KP,1602.088843,0.00279,16.257799,HATS-17b
73723286,PC,FP,109.289482,9,period in qlp = 14.05864 was slightly off,665.01,FP,1547.303252,0.0005059999999999999,14.065993,period in qlp = 14.05864 was slightly off
74482749,PC,,32.0,"8,9",,584.01,PC,1518.15634,0.00019,1.25987,
74534430,PC,,11.0,"8,9",period could be double (36.3 days); check bright star on the south west of this star,687.01,PC,1525.56244,0.00277,18.15538,period could be double (36.3 days); check bright star on the south west of this star
76419763,KP,KP,93.744606,26,HAT-P-5 b,,KP,,,,HAT-P-5 b
76923707,PC,,64.932281,2,,181.01,PC,1358.118127,0.000161,4.532037,
76989773,PC,FP,160.339111,2,v-shaped; two stars in PSF,182.01,FP,1355.082723,3.1e-05,1.769141,v-shaped; two stars in PSF
77031413,PC,KP,192.0,2,two stars in the same pixel;,368.01,KP,1355.1953,3e-05,1.38665,two stars in the same pixel;
77031414,PC,KP,168.578995,2,target could also be 77031413.,241.01,KP,1355.195771,2e-05,1.386653,target could also be 77031413.
77044471,KP,KP,21.752041000000002,2,HATS-16,228.01,KP,1356.102509,0.00024900000000000004,2.6860630000000003,HATS-16
77156657,KP,KP,44.0,"4,5",,1903.01,KP,1413.12956,0.00033,3.83988,
77156829,PC,,9.965629,"4,5",,696.01,PC,1411.473809,3.3e-05,0.860233,
77228304,PC,FP,10.402103,"4,5",,456.01,FP,1410.95064,1.7e-05,0.336826,
77253676,PC,,9.783714999999999,"4,5",possible super-Earth,697.01,PC,1418.928996,0.001586,8.607221000000001,possible super-Earth
77527511,PC,,32.0,8,,613.01,PC,1518.2712,8e-05,0.77864,
77951245,PC,FP,110.89303600000001,"5,6",Star likely to be small based on parallax and temperature which could indicate a smaller planet radius,450.01,FP,1443.168542,0.000131,10.714754,Star likely to be small based on parallax and temperature which could indicate a smaller planet radius
78055054,KP,KP,94.447517,"5,6",,434.01,KP,1439.249895,7.8e-05,4.388721,HATS-43b
78154865,PC,FA,8.201568,8,PC; TIC 78154863 in same pixel,638.01,FA,1517.42793,5.5e-05,0.493826,PC; TIC 78154863 in same pixel
78672342,PC,FP,14.0,6,possible odd-even; GAIA DR2 Teff = 4060 K and Rad = 10.8 Rsun,648.01,FP,1471.30172,0.00175,2.97638,possible odd-even; GAIA DR2 Teff = 4060 K and Rad = 10.8 Rsun
79292541,PC,,61.0,"6,7",crowded field; could be on 79292540,642.01,PC,1470.7369,0.00032,2.27728,crowded field; could be on 79292540
79395355,PC,FP,17.0,1,Potential blend with 79395356 to NE,164.01,FP,1328.33733,0.00224,7.318980000000002,Potential blend with 79395356 to NE
79748331,PC,,9.312669,13,Huge centroid offset; likely background EB,1064.01,PC,1656.669627,0.00129,6.441821,Centroid offset likely due to erroneous fit
80166433,PC,,11.0,13,,1125.01,PC,1656.14889,0.00027,1.5460200000000002,
80275202,PC,FP,21.0,8,need to check 80275180,610.01,FP,1495.34181,0.00066,3.66465,need to check 80275180
80432617,PC,,10.0,2,two events (near 1360 and 1377); wrong period in report,359.01,PC,1360.67423,,16.45209,two events (near 1360 and 1377); wrong period in report
80439101,PC,,57.0,2,V-shaped; likely EB; period could be twice the reported.,340.01,PC,1361.05759,0.00093,7.4222899999999985,V-shaped; likely EB; period could be twice the reported.
