rowid,TIC_ID,Probability,Unnamed: 0,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
56,219304041,0.04461932927370072,3931,2036.4674042224224,0.9773896260053976,0.7632044523352869,0.0028922851243927683,1.963463534730557,16.18700027,50000.0,0.147,31.0,0.1221,0.2303,5.80240011,0.14429923856762358,0.9769076915293876,0.9803306230552762,0.6193635503381579,10.574296666683107,11.230253355056037,0.5,2502.11,121.677254,157.405,2,3,315.368723563689,-54.8865422181427,-10.4276,-9.17348,13.88839721,,,
57,100516667,1.4172634621445468e-08,3985,2036.5282886874447,0.998538023237646,0.7081283422513988,0.0006530039035696489,0.4161912160164401,10.69509983,7478.0,1.59735,34.0,0.2438,0.2464,4.26678991,0.03582077988764765,0.9987546306927352,0.9984827523447104,0.8426165415861725,10.588028729609725,10.345432861494585,1.72,451.495,7.188495,0.422013,1,2,309.159893162327,-48.332239267869205,8.44675,-3.25762,9.05315821,,,
58,271578884,0.012016354128718376,3997,2038.8396613112127,0.9998184759937117,11.439547735144506,inf,19.4429884217156,8.27659988,6129.0,0.98796499,2.0,0.3276,0.2297,4.51304007,0.012439945368088056,0.9998115172746044,0.9998669486610601,1.5569555446716183,12.197601379583714,10.350607726570804,1.16,69.9523,1.24089777,1.20291,2,1,319.60084696226,-72.14605741273391,63.5274,-32.8528,71.51948699,,,
59,401728805,5.842593661480043e-13,4000,2036.7376053254684,0.9913163701518198,0.6047296481636856,0.0005337651943227996,0.4040343802674706,13.53069973,7180.0,1.25753999,38.0,0.2757,0.2311,4.445849900000002,0.08689729448500245,0.992323681579676,0.9915810908352248,0.6081162495564948,15.27513318677655,13.862845575945585,1.61,979.991,3.78650284,0.809575,3,2,334.663287185289,-83.0963116388958,56.251000000000005,-70.4601,90.15986187,,,
60,25153167,0.006877946201711893,4031,2036.433901092153,0.9951089508881852,0.7467770851916979,0.004717598557594904,1.980767520749159,13.56750011,3036.0,0.182652,31.0,0.1933,0.5347,5.09723997,0.06434305339891591,0.9958145494893074,0.9953899936852886,0.6732069709300552,19.282600334804645,9.852881228704929,0.152202,31.3495,0.00255358685,24.9774,4,1,63.075106365767,-70.16630660739739,19.2264,78.7616,81.07431216,,,
61,387190963,3.4316987655879195e-24,4048,2047.7570649279232,0.9886410699684808,11.753840721948686,inf,13.17913741950466,11.17720032,5473.0,0.83921301,2.0,0.3862,0.2061,4.57258987,0.09750116850006957,0.9990905667675648,0.9812043643410768,42.96215317845778,14.786535544296589,9.682008075234323,0.96,180.919,0.5692996379999999,1.62426,2,4,303.873836692728,-55.7559727168456,7.6628,5.98982,9.72607051,,,
62,52381204,3.444439789745957e-05,4073,2039.0010421941088,0.9986218150024556,12.065066532330885,inf,21.006363900636934,11.35529995,5638.0,0.79565901,2.0,0.3785,0.2075,4.63661003,0.034009436325660045,0.9988919660625766,0.9987155339343724,1.079743652326601,19.213713056775372,9.832666543811255,1.0,197.941,0.5763003000000001,1.98527,3,4,24.019424016170603,-69.9906796311671,0.6449779999999999,11.5114,11.52945474,,,
63,230961979,0.5447030067443848,4080,2041.335696059865,0.9993441696731172,6.186131514103846,0.02420043661724813,1.867524069473326,10.22299957,6011.70996094,0.95363802,4.0,0.3345,0.2282,4.52462006,0.023616981856344327,0.9996801310230607,0.999180685079626,2.3467903908303644,7.522030435803562,9.208710167277902,1.11,155.894,1.0701735,1.27989,2,4,287.69665322858896,-58.310938979175994,27.354,16.1892,31.7857124,-0.45101899,,
64,61275837,0.0004341536259744316,4092,2040.905287050332,0.9677001454290892,11.117153579077227,inf,24.393919971730515,7.08029985,5077.0,1.23818004,2.0,0.42100000000000004,0.2031,4.18192005,0.16332102814875898,0.9731783005199576,0.9735668102144748,0.8591420938163464,67.31937707202525,9.924782357685624,0.85,35.7856,0.917674363,0.447787,1,1,287.210344778343,-42.4281205065268,27.0938,-117.632,120.71189429,,,
65,260164371,0.0024885176680982113,4096,2036.9120611057879,0.9774118385536974,0.8350839720338876,0.004881608503562175,2.3144923684830285,10.515299800000001,5257.0,1.12690997,28.0,0.4036,0.2028,4.28852987,0.1370613765295497,0.9802529328240208,0.9802563733096294,0.006670746840713846,66.08839042047175,11.005700084336029,0.9,166.889,0.873822153,0.628895,4,4,92.9707583251094,-56.317963587502604,-1.93395,45.6378,45.67875821,,,
66,401604346,0.9287756085395812,4116,2037.569193071979,0.9931024883245028,2.121658399729077,0.007720265521665491,0.9699861236475822,11.39960003,6079.0,1.19652998,8.0,0.3276,0.2297,4.33911991,0.07668274683322986,0.9933077536744652,0.9933802184225684,0.1468333969843123,42.78803265301687,17.70442158632731,1.14,337.064,1.76145816,0.665474,2,1,313.691266619487,-72.804636915693,-2.37555,-0.8086479999999999,2.50941216,,PC,V-shaped; two stars in pixel; Gaia DR2 RV error ~1.9 km/s
67,114788209,6.596195811781058e-11,4142,2036.935651799472,0.9992970835188704,0.7617325456340374,0.0007886094544258816,0.4027410358962095,8.29290009,7736.0,1.68383002,24.0,0.2396,0.2457,4.24554014,0.02485945403532801,0.9991542355299128,0.999232891974564,0.4885757741200094,13.85549902263911,12.566367751440762,1.82,163.967,9.14862,0.381223,1,1,300.985326762615,-39.9284590490952,24.7213,-43.8267,50.31821049,,,
68,61958057,0.004184034187346697,4152,2038.569886496393,0.9997912847584008,10.288931195797216,0.3198366094058134,15.146722198707867,7.47319984,6241.22021484,1.81371999,2.0,0.3451,0.21600000000000005,4.00370979,0.013311359169632643,0.9997926035770428,1.0003175484014335,3.4054823574564344,12.863660689034946,9.050975814393468,1.21,92.6518,4.49688435,0.202804,1,1,289.88802358374,-42.0652311643831,74.9532,-13.717,76.19802018,,,
69,364398410,0.0005117172258906066,4155,2036.732258627178,0.8948125423328466,1.5872829677321718,0.008367211524755613,2.6998448450081547,9.32670021,8442.0,2.58535004,13.0,0.2042,0.2456,3.93318009,0.30614053109876466,0.8992576508516168,0.9043917986199732,2.1113865558260634,184.67422102429515,17.848794732039657,2.09,417.01,30.58535,0.120946,4,3,119.543653400276,-60.8659469517554,-4.40182,9.91514,10.84831879,,,
70,293463589,0.012402905151247978,4184,2047.088670470532,0.9995796971135776,11.236060377710594,inf,20.34680944536649,9.83950043,6612.0,2.73865008,2.0,0.3176,0.2406,3.70286989,0.01894604642401449,0.9997921247864112,0.9995032857359004,2.788533298592992,12.021692801303468,13.612977109522953,1.38,425.027,12.9151421,0.0671846,3,3,48.9064646426311,-81.973912620194,5.10945,14.5061,15.37964293,,,
71,300327482,4.4469991924978025e-12,4231,2036.7208938755814,0.9989944093249216,0.6595230258363748,0.0012978425818155892,0.6123914488776907,10.17630005,5766.95019531,1.19789004,29.0,0.3495,0.2247,4.29406977,0.02916813313618488,0.9990550089634068,0.9989868996904294,0.4549783577600741,15.358176059271333,10.148325224831387,1.03,167.525,1.4299227,0.599222,4,2,110.731849500294,-69.4328459618945,-22.9124,92.2661,95.06845577,-0.0999742,,
