rowid,TIC_ID,Probability,rowid_0,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
1336,233682614,0.011094396933913231,19011,1689.2598675691336,0.996538211914654,9.300446671813944,0.2551014708110575,16.204177434964688,11.27099991,5884.0,0.95462197,3.0,0.3454,0.2253,4.50656986,0.054159308906056816,0.9962814871948076,0.9982879621852514,12.845984298879086,39.866161811331814,7.5839015113859825,1.067,247.728,0.9841212,1.22651,3,1,260.690528240744,61.802892620890105,8.67751,-16.7214,18.83890649,,,
1337,336267424,0.25010713934898376,19015,1684.2187284686124,0.9858050716003774,1.4825707599453315,0.006347972822822068,1.676925327981999,12.54660034,6835.31005859,1.31283998,18.0,0.293,0.2308,4.371910099999999,0.11073628800060953,0.986560333615614,0.9882633395195716,2.8207012174454777,72.40328920767108,16.588601039854392,1.48,772.0260000000002,3.38961339,0.654075,2,3,281.66189222403597,41.5600525413348,1.39544,-7.4784,7.60747786,-0.169973,PC,
1338,405896654,0.011200358159840107,19024,1683.533477792197,0.9982551875064102,6.624241622875188,0.1575079954114207,11.76436376309056,10.51850033,5301.0,0.926099,4.0,0.4036,0.2028,4.46474981,0.03809333787556822,0.998523422080438,0.9983860887613674,1.113180449277232,29.39262600286485,8.713229951599951,0.912,140.283,0.610156,1.14821,2,4,300.962876931123,51.738005586638096,47.2565,46.6099,66.37514271,,,
1339,233732174,0.00010525113611947744,19025,1692.5830966429435,0.9942275843802312,13.42502453574365,inf,29.41070379912741,10.56429958,5954.0,1.07015002,2.0,0.3345,0.2282,4.41660976,0.0700660193728693,0.9932802273267808,0.9972997849590812,28.566647519501576,52.71814117349171,7.767127518577008,1.09,203.689,1.2966305,0.8894,3,2,277.250640333921,64.73461912988111,-1.3561299999999998,15.9632,16.02070045,,,
1340,270785904,5.6083103117998696e-05,19029,1691.072671907577,0.999148741343175,9.736006169638118,0.25857318072416025,24.3064745098717,10.40159988,5363.0,0.85665798,2.0,0.3947,0.2049,4.53999996,0.02664940730569483,0.9996483643892328,0.9988598448434928,7.966915933196285,19.161968247601656,7.261289670715628,0.928,125.312,0.5469418,1.47613,2,4,294.017817171048,44.5164641969372,28.5651,18.0031,33.76501959,,,
1341,230007806,1.4797453218307055e-07,19032,1687.5023413279646,0.999564754209056,5.609244332238175,0.1127870399941755,12.940754552396488,10.37539959,5980.0,1.01635003,5.0,0.3345,0.2282,4.46498013,0.01923959555200553,0.9996179100053378,0.9996109053243104,0.06977706002405251,11.157675153037825,7.0359505552325805,1.099,180.385,1.19010639,1.04681,2,1,290.879232376722,62.36029419246739,18.8723,66.0511,68.69433396,,,
1342,287138053,0.5636017918586731,19033,1683.6367263994428,0.9998978215029874,12.730927130995415,0.1528198415192028,13.391885804396722,7.61730003,5600.0,1.32056999,3.0,0.3789,0.2128,4.19218016,0.009254697301685252,0.999876630303798,1.0000038270393314,3.4232343523631843,8.199787573858313,10.198827653167529,0.99,59.0005,1.54513836,0.429887,3,1,252.886833979991,65.1993878891614,19.6146,-69.5813,72.29308295,,,
1343,230076072,0.00044177906238473946,19048,1683.9520175699288,0.9991023282494492,12.258188087068215,inf,9.025566528372178,10.35599995,6172.0,1.45251,2.0,0.3451,0.21600000000000005,4.18570995,0.027606039082527192,0.999743528447622,0.9986430337762838,7.326236711704872,14.508226509647319,9.371342553822661,1.18,267.626,2.75828218,0.385054,3,4,244.73113752688099,66.34494811970809,-47.0474,55.5465,72.79334797,,,
1344,368436893,0.0,19052,1684.535414802841,0.9977925494377212,12.62685612600284,inf,21.13122586507353,10.93360043,5358.56005859,0.76767302,2.0,0.3947,0.2049,4.63478994,0.04291432410357162,0.9974908959060568,0.9997014218989246,11.045873461173274,28.263831157647672,11.465045858361385,0.927,144.412,0.437764168,2.04904,4,4,172.777889725694,56.793608113359994,-61.0771,31.0637,68.52273785,-0.182,,
1345,230120153,3.3325104595860462e-06,19057,1684.2531442430966,0.9992671361128266,4.686740688340749,0.09214472011051897,10.783891784938511,10.56840038,5470.0,0.83491099,6.0,0.3862,0.2061,4.57569981,0.0247658232565274,0.9993362562932616,0.99937253883928,0.2350566241083609,11.142870854265098,7.194956518300648,0.957,137.407,0.562243164,1.64434,3,1,249.93151203458302,67.6329071359677,-62.1322,51.8219,80.90685754,,,
